feeder,topology,portfolio,native_dc_share,converter_efficiency,spatial_allocations,all_ac_count,hybrid_count,root_dc_count,mean_dc_bus_fraction,mean_dc_energy_fraction,mean_loss_change_pct,median_loss_change_pct,minimum_loss_change_pct,maximum_loss_change_pct,distinct_boundary_signatures,all_ac_pct,hybrid_pct,root_dc_pct
rural,synthetic_mst,K1,0.5,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K1,0.5,0.98,3,0,3,0,0.12820512820512822,0.18066176658086908,-10.573952318603963,-13.700358607334689,-15.093603955826607,-2.9278943926505963,3,0.0,100.0,0.0
rural,synthetic_mst,K1,0.5,0.99,3,0,3,0,0.17948717948717952,0.190998054718579,-19.675400854750833,-24.491632405443745,-29.049570643954375,-5.484999514854376,3,0.0,100.0,0.0
rural,synthetic_mst,K1,0.75,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K1,0.75,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K1,0.75,0.98,3,0,3,0,0.3333333333333333,0.36433344429710557,-14.306374369316027,-14.234686231543037,-15.788984319075128,-12.89545255732992,3,0.0,100.0,0.0
rural,synthetic_mst,K1,0.75,0.99,3,0,3,0,0.5641025641025641,0.5101766864822336,-27.203297860332686,-27.602577755019947,-28.67531594446867,-25.331999881509443,3,0.0,100.0,0.0
rural,synthetic_mst,K1,1.0,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K1,1.0,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K1,1.0,0.98,3,0,0,3,1.0,1.0,-32.99229361931573,-32.99229361931573,-32.99229361931573,-32.99229361931573,1,0.0,0.0,100.0
rural,synthetic_mst,K1,1.0,0.99,3,0,0,3,1.0,1.0,-57.0276930493899,-57.027693049389896,-57.027693049389896,-57.027693049389896,1,0.0,0.0,100.0
rural,synthetic_mst,K2,0.0,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K2,0.0,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
