feeder,topology,portfolio,seed,converter_efficiency,first_non_ac_native_dc_share,first_root_dc_native_dc_share,architecture_sequence,boundary_sequence
urban,synthetic_mst,K0,20260926,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K0,20260926,0.98,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:33-18|0.5:23-14|5-8|0.75:36-12|9-27|42-31|42-41|32-34|19-5|1-17|1:0-11
urban,synthetic_mst,K0,20260926,0.99,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:33-18|0.5:36-12|32-34|50-49|23-14|5-8|0.75:36-12|9-27|42-31|42-41|32-34|19-5|1-17|1:0-11
urban,synthetic_mst,K1,20260924,0.94,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K1,20260924,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K1,20260924,0.98,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:23-14|0.5:12-20|42-41|23-14|0.75:10-15|36-43|12-20|42-41|50-51|23-14|1-17|56-57|1:0-11
urban,synthetic_mst,K1,20260924,0.99,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:23-14|0.5:12-20|42-41|23-14|24-19|22-33|0.75:0-11|4-9|1-17|22-33|1:0-11
urban,synthetic_mst,K1,20260925,0.94,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K1,20260925,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K1,20260925,0.98,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:23-14|33-18|0.5:36-43|23-14|5-8|56-57|0.75:36-43|23-14|5-8|1-17|56-57|1:0-11
urban,synthetic_mst,K1,20260925,0.99,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:23-14|8-39|0.5:36-43|23-14|5-8|56-57|0.75:0-11|4-9|20-32|42-41|25-38|1:0-11
urban,synthetic_mst,K1,20260926,0.94,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K1,20260926,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K1,20260926,0.98,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:33-18|0.5:23-14|5-8|0.75:36-12|9-27|42-31|42-41|32-34|19-5|1-17|1:0-11
urban,synthetic_mst,K1,20260926,0.99,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:33-18|0.5:23-14|5-8|0.75:36-12|9-27|42-31|42-41|32-34|19-5|1-17|1:0-11
urban,synthetic_mst,K2,20260924,0.94,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K2,20260924,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K2,20260924,0.98,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:23-14|0.5:12-20|42-41|23-14|0.75:10-15|36-43|12-20|42-41|50-51|23-14|1-17|56-57|1:0-11
urban,synthetic_mst,K2,20260924,0.99,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:23-14|0.5:12-20|42-41|23-14|24-19|22-33|0.75:0-11|4-9|1-17|22-33|1:0-11
urban,synthetic_mst,K2,20260925,0.94,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K2,20260925,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K2,20260925,0.98,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:23-14|33-18|0.5:36-43|23-14|5-8|56-57|0.75:36-43|23-14|5-8|1-17|56-57|1:0-11
urban,synthetic_mst,K2,20260925,0.99,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:23-14|8-39|0.5:36-43|23-14|5-8|56-57|0.75:0-11|4-9|20-32|42-41|25-38|1:0-11
urban,synthetic_mst,K2,20260926,0.94,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K2,20260926,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K2,20260926,0.98,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:33-18|0.5:23-14|5-8|0.75:36-12|9-27|42-31|42-41|32-34|19-5|1-17|1:0-11
urban,synthetic_mst,K2,20260926,0.99,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:33-18|0.5:36-12|32-34|50-49|23-14|5-8|0.75:36-12|9-27|42-31|42-41|32-34|19-5|1-17|1:0-11
urban,synthetic_mst,K3,20260924,0.94,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K3,20260924,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K3,20260924,0.98,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:23-14|0.5:12-20|42-41|23-14|0.75:10-15|36-43|12-20|42-41|50-51|23-14|1-17|56-57|1:0-11
urban,synthetic_mst,K3,20260924,0.99,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:23-14|0.5:12-20|42-41|23-14|24-19|22-33|0.75:0-11|4-9|1-17|22-33|1:0-11
urban,synthetic_mst,K3,20260925,0.94,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K3,20260925,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K3,20260925,0.98,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:23-14|33-18|0.5:36-43|23-14|5-8|56-57|0.75:36-43|23-14|5-8|1-17|56-57|1:0-11
urban,synthetic_mst,K3,20260925,0.99,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:23-14|8-39|0.5:36-43|23-14|5-8|56-57|0.75:0-11|4-9|20-32|42-41|25-38|1:0-11
urban,synthetic_mst,K3,20260926,0.94,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K3,20260926,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
urban,synthetic_mst,K3,20260926,0.98,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:33-18|0.5:23-14|5-8|0.75:36-12|9-27|42-31|42-41|32-34|19-5|1-17|1:0-11
urban,synthetic_mst,K3,20260926,0.99,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:33-18|0.5:23-14|5-8|0.75:36-12|9-27|42-31|42-41|32-34|19-5|1-17|1:0-11
